Sampleo,sampling.area,p,rho,negative_significant ,posititive_significant ,negative_visual,Cop_Abundance_ind.m3,BrZ_Abundind.m3,TotalZoo_Abundance_ind.m3
1,Bay,NA,NA,,,,16.021,0,37.884
2,Bay,0.02299,0.67,,1,,35.237,1.0005,45.254
3,Bay,NA,NA,,,,17.326,0,22.609
4,Bay,0.57828,-0.19,,,1,146.65,1.4201,157.3
5,Bay,0.36904,-0.3,,,1,169.34,1.0942,185.43
6,Bay,0.39768,0.28,,,,64.366,1.5712,77.328
7,Bay,0.0556,-0.59,,,1,36.919,13.333,54.666
8,Bay,0.03095,-0.65,1,,1,51.554,9.3565,65.355
9,Bay,0.75168,-0.11,,,,27.254,0.92179,62.39
10,Bay,0.94684,-0.02,,,1,15.718,3.9962,20.963
11,Bay,0.15186,-0.46,,,1,73.745,1.1345,86.509
12,Bay,NA,NA,,,,39.493,0,50.189
13,Bay,NA,NA,,,,33.552,0,64.28
14,Bay,0.906,0.04,,,1,29.809,0.24564,35.127
15,Bay,NA,NA,,,,18.284,0,19.767
16,Bay,0.72226,-0.12,,,,215.31,0.79381,225.01
17,Bay,NA,NA,,,,2662,0,2721.1
18,Bay,0.11824,-0.5,,,1,54.373,0.67712,84.189
19,Bay,0.00061,-0.89,1,,1,14.375,2.2445,17.101
20,Bay,0.35944,-0.31,,,1,223.31,7.2673,250.43
21,Bay,NA,NA,,,,338.44,0,369.51
22,Bay,0.00927,-0.77,1,,1,214.19,3.9962,226.87
23,Bay,0.4568,-0.25,,,1,11.114,0.31089,17.954
24,Bay,0.3986,0.28,,,1,88.232,0.80455,111.3
25,Bay,0.67158,-0.15,,,1,62.804,0.36498,75.281
26,Bay,NA,NA,,,,61.1,0,80.249
27,Bay,0.93727,0.03,,,1,63.258,0.37766,73.833
28,Bay,0.18535,-0.49,,,1,4.4238,0.19234,6.1548
29,Bay,1,0,,,,67.409,0.36343,77.12
30,Bay,NA,NA,,,,1007.6,0,1176.5
31,Bay,NA,NA,,,,55.831,0.26016,122.61
32,Bay,0.21045,-0.41,,,1,28.255,9.5999,45.447
33,Bay,0.14276,-0.47,,,1,180.83,2.5602,199.07
34,Bay,0.51351,-0.22,,,1,122.95,4.1321,148.23
35,Bay,0.01903,-0.69,1,,1,134.57,1.9981,145.11
36,Bay,NA,NA,,,,47.627,0,137.09
37,Bay,0.93727,0.03,,,1,578.44,2.7856,616.33
38,Bay,0.39685,-0.28,,,1,65.23,1.0437,83.755
39,Estuary,0.00139,-0.84,1,,1,724.93,1227.6,1989
40,Estuary,0.07162,0.56,,,1,717.54,8.3312,910.76
41,Estuary,0,-0.97,1,,1,130.53,538.42,762.76
42,Estuary,NA,NA,,,,33.234,0,65.594
43,Estuary,0.02778,-0.66,1,,1,689.54,130.52,1312.1
44,Estuary,0.13722,-0.48,,,1,475.2,83.543,583.65
45,Estuary,0.34322,-0.32,,,1,173.11,96.44,304.19
46,Estuary,0.00043,-0.89,1,,1,69.367,119.85,207.29
47,Estuary,0.00255,-0.81,1,,1,5218.4,775.49,6049.5
48,Estuary,0.09199,-0.53,,,1,87.729,123.35,218.29
49,Estuary,0.07409,-0.62,,,1,5.6188,101.25,201.66
50,Estuary,0.43512,-0.26,,,1,1032.7,19.989,1241
51,Estuary,0.00004,-0.93,1,,1,1932.1,1828.8,3805.1
52,Estuary,0.39989,0.28,,,1,4948.6,70.871,5544.1
53,Estuary,0.01873,-0.71,1,,1,749.51,904.69,1888.1
54,Estuary,0.31303,-0.34,,,1,34.4,263.76,324.38
55,Estuary,0.00256,-0.84,1,,1,316.02,168.93,540.72
56,Estuary,0.20307,-0.42,,,1,3060.1,188.26,3318.5
57,Estuary,0.44573,-0.26,,,1,788.24,102.75,955.34
58,Estuary,0.037,-0.65,1,,1,145.82,52.574,208.9
59,Estuary,0.02993,-0.65,1,,1,74.782,47.588,192.62
60,Estuary,0.02692,-0.66,1,,1,1404.4,314,1813.6
61,Estuary,0.18545,-0.43,,,1,137.28,70.464,241.76
62,Estuary,0.06057,-0.58,,,1,3.5045,27.318,45.817
63,Estuary,0.73894,-0.12,,,,420.25,0.036838,450.92
64,Estuary,0,-0.98,1,,1,1537.6,2673.6,4268.6
65,Estuary,0.46772,0.26,,,1,954.18,74.352,1350.7
66,Estuary,0.00199,-0.82,1,,1,991.96,1200.8,2304.6
67,Estuary,0.00066,-0.86,1,,1,2761.4,5050.2,8924.3
68,Estuary,0.00107,-0.85,1,,1,48019,4153.5,53430
69,Estuary,0.00216,-0.82,1,,1,5579.6,699.68,6766
70,Estuary,0.03779,-0.63,1,,1,178.45,114.09,388.03
71,Estuary,0.28352,-0.36,,,1,2233.5,484.96,2863
72,Estuary,0.00024,-0.89,1,,1,84.815,155.49,376.53
73,Estuary,0.00754,-0.75,1,,1,110.8,119.79,245.57
74,Estuary,0.00877,-0.74,1,,1,413.88,89.776,549.31
75,Estuary,0.04416,-0.62,1,,1,398.81,203.64,663.56
76,Estuary,0.64227,0.16,,,1,3470,45.227,3919.2
77,Shelf,0.12172,0.5,,,1,53.485,0.43308,64.594
78,Shelf,0.00159,-0.83,1,,1,12.499,1.3789,23.308
79,Shelf,0.36119,-0.31,,,,15.368,0.57322,17.292
80,Shelf,0.98586,0.01,,,,208.48,1.3965,215.13
81,Shelf,0.04343,-0.62,1,,1,5.3141,1.1081,13.885
82,Shelf,0.11731,-0.5,,,1,123.08,0.3002,128.53
83,Shelf,0.57025,-0.21,,,1,201.36,4.5763,224.26
84,Shelf,0.30139,-0.34,,,1,22.991,0.6644,33.797
85,Shelf,0.00542,-0.8,1,,1,40.911,40.533,94.351
86,Shelf,NA,NA,,,,0.30994,0,0.76293
87,Shelf,0.04012,-0.62,1,,1,7.0867,1.3896,14.781
88,Shelf,0.42257,-0.27,,,1,45.778,0.26309,57.88
89,Shelf,0.11727,0.5,,,,19.968,0.10765,27.557
90,Shelf,0.21962,-0.4,,,1,85.062,0.92058,110.01
91,Shelf,0.08863,-0.57,,,1,42.818,3.8202,59.293
92,Shelf,0.76987,0.1,,,1,22.588,0.17359,40.381
93,Shelf,0.03964,-0.63,1,,1,88.124,5.5839,115.76
94,Shelf,0.09882,-0.55,,,,5.5976,0.13434,8.0157
95,Shelf,0.55545,0.2,,,,367.91,0.31861,391.59
96,Shelf,0.00008,-0.92,1,,1,34.412,1.7407,42.799
97,Shelf,NA,NA,,,,176.1,0,181.89
98,Shelf,0.5536,-0.2,,,1,24.261,0.22674,39.452
99,Shelf,0.20965,-0.41,,,1,416.44,0.8884,431.32
100,Shelf,0.3921,-0.29,,,1,25.536,2.7922,39.649
101,Shelf,0.00265,-0.81,1,,1,65.234,2.7157,75.632
102,Shelf,0.41464,-0.29,,,,11.533,0.044187,16.427
103,Shelf,0.06866,-0.6,,,1,112.09,0.51123,125.03
104,Shelf,NA,NA,,,,446.47,0,520.41
105,Shelf,0.04988,-0.6,1,,1,62.24,3.4003,110.29
106,Shelf,NA,NA,,,,1451.7,0,1558
107,Shelf,0.9569,0.02,,,1,308.98,11.236,357.77
108,Shelf,0.36004,-0.31,,,,11.834,0.33771,20.882
109,Shelf,0.17278,-0.44,,,1,14.932,0.73919,29.678
110,Shelf,NA,NA,,,,43.464,0,62.887
111,Shelf,0.7571,-0.11,,,,97.555,0.31416,143.75
112,Shelf,0.1417,-0.47,,,1,36.81,1.2805,51.782
113,Shelf,0.21823,-0.4,,,1,7.0223,0.073919,16.17
114,Shelf,0.20215,-0.42,,,1,970.41,2.9568,1000.6
115,Shelf,0.64311,-0.17,,,,86.453,2.2514,114.89
116,Shelf,0.63054,-0.17,,,,2.5872,0.073919,7.8908
117,Shelf,0.03072,-0.65,1,,1,8.5931,0.33264,11.975
118,Shelf,NA,NA,,,,47.253,0,69.613
119,Shelf,0.76459,0.1,,,,2.8089,0.14784,4.8232
120,Shelf,0.30593,-0.34,,,,45.009,2.9676,78.642
121,Shelf,0.80486,-0.09,,,1,21.622,2.6554,54.482
